"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Congressional District 7 - U.S. Representative","Jim McDermott","(Prefers Democratic Party)",124692,70.91,"Congressional"
"Congressional District 7 - U.S. Representative","Ron Bemis","(Prefers Republican Party)",26791,15.24,"Congressional"
"Congressional District 7 - U.S. Representative","Charles Allen","(Prefers Democratic Party)",4367,2.48,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",66220,50.62,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Swank","(Prefers Republican Party)",10942,8.36,"Congressional"
"Congressional District 8 - U.S. Representative","James Windle","(States No Party Preference)",5269,4.03,"Congressional"
"Congressional District 8 - U.S. Representative","Karen Porterfield","(Prefers Democratic Party)",37083,28.35,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Democratic Party)",7144,5.46,"Congressional"
"Congressional District 8 - U.S. Representative","Ernest Huber","(Prefers Republican Party)",4165,3.18,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",72868,61.16,"Congressional"
"Congressional District 9 - U.S. Representative","Jim Postma","(Prefers Republican Party)",27616,23.18,"Congressional"
"Congressional District 9 - U.S. Representative","Tom Cramer","(Prefers Democratic Party)",8376,7.03,"Congressional"
"Congressional District 9 - U.S. Representative","Dave Christie","(Prefers F.D.R. Democrat Party)",3659,3.07,"Congressional"
"Congressional District 9 - U.S. Representative","John Orlinski","(Prefers Republican Party)",6624,5.56,"Congressional"
"Congressional District 10 - U.S. Representative","Stan Flemming","(Prefers Republican Party)",19934,15.51,"Congressional"
"Congressional District 10 - U.S. Representative","Richard (Dick) Muri","(Prefers Republican Party)",36173,28.15,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",51047,39.73,"Congressional"
"Congressional District 10 - U.S. Representative","Steve Hannon","(States No Party Preference)",3025,2.35,"Congressional"
"Congressional District 10 - U.S. Representative","Jennifer Ferguson","(Prefers Democratic Party)",14026,10.92,"Congressional"
"Congressional District 10 - U.S. Representative","Sue Gunn","(Prefers Prog Independent Party)",4292,3.34,"Congressional"
